,Revenue,Revenue Growth,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBIT Margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Cash and short-term investments,Total current assets,"Property, Plant & Equipment Net",Total assets,Total current liabilities,Total liabilities,Retained earnings (deficit),Total shareholders equity,Other Assets,Other Liabilities,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,assetTurnover,currentRatio,quickRatio,cashRatio,operatingCashFlowPerShare,cashPerShare,Operating Cash Flow per Share,Cash per Share,Shareholders Equity per Share,Income Quality,Tangible Asset Value,Net Current Asset Value,Capex per Share,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Diluted Growth,Operating Cash Flow growth,Asset Growth,SG&A Expenses Growth,Sector,Class,2019 PRICE VAR [%]
CX,14125255102.0408,0.0793,4790306122.449,3096632653.0612,3394438775.5102,1395867346.9388,761938775.5102,534030612.2449,534030612.2449,0.1122,0.1122,1248940072.2799969,1250737344.2399998,0.3391,0.0994,2224540816.3265,1404642857.1429,574285714.2857,0.0539,0.0378,309591836.7347,309591836.7347,3431632653.0612,11451020408.1633,28195306122.449,4599540816.3265,16994642857.1429,1605051020.4082,9625000000.0,224338246.3096,1361377551.0204,819897959.1837,1354336734.6939,-593418367.3469,-800357142.8571,-997040816.3265,-443061224.4898,760918367.3469,0.5009789587208701,0.0381,0.4599505274484,0.06730929218755399,36.054813999999666,26.2524,36.054813999999666,26.2524,195.0318499999994,2.5361,16226020408.1633,-13563010204.0817,-21.367266,0.0637,-0.2116,-0.0465,-0.31,-0.3511,-0.3511,0.0335,-0.1436,-0.0231,0.0883,Basic Materials,0,-21.971691533209423
CZR,8391000000.0,0.7237,4210000000.0,2093000000.0,3471000000.0,739000000.0,182000000.0,303000000.0,303000000.0,0.44,0.41,669733000.0,686000000.0,0.5017,0.1821,2673000000.0,1528000000.0,304000000.0,0.0217,0.0361,1657000000.0,1657000000.0,2265000000.0,16045000000.0,25775000000.0,2000000000.0,22437000000.0,-1842900320.0000002,3250000000.0,104000000.0,1417000000.0,1145000000.0,786000000.0,-565000000.0,-2135000000.0,297000000.0,-821100000.0,221000000.0,0.32554801163919,1.133,1.06,0.8285,1.1458,2.4155,1.1458,2.4155,4.7376,2.5941,18754000000.0,-20172000000.0,-0.8236,0.6484,1.961,1.4956,1.8234,1.3333,1.3106,1.221537,1.3384,0.0133,0.5784,Consumer Cyclical,1,96.53179525329287
F,33676258073.006508,0.0227,14606000000.0,6756044999.99999,10918299999.999996,3203000000.0,4327000000.0,3677000000.0,3677000000.0,0.93,0.92,1248940072.2799969,1250737344.2399998,0.0911,0.0346,7233379999.999997,5175667817.2588825,3695000000.0,0.027000000000000003,0.0229,5799200000.000004,8050877011.494213,22935184711.98408,19858844600.000008,109241000000.0,27167699999.999996,69270934340.99806,19512400000.000008,24718950000.000004,-72020900.00000004,15393603099.999842,2067260000.0000002,6379931724.1378975,-2699700000.0,-4963626553.036363,-122000000.0,-821100000.0,4533185999.999979,0.6250019490138,1.2,1.6223147673409,0.17493120154025,3.7764,4.2027,3.7764,4.2027,9.0329,4.0854,75467350920.85007,-42405411219.38778,-1.9571,-0.1098,-0.4042,-0.3438,-0.5244,-0.5206,-0.5233,0.0,-0.1699,-0.0076,-0.0108,Consumer Cyclical,1,25.537204035802425
AMD,6475000000.0,0.2326,2447000000.0,562000000.0,1996000000.0,451000000.0,328000000.0,337000000.0,337000000.0,0.34,0.32,999407216.0,982000000.0,0.3779,0.0693,619000000.0,449000000.0,337000000.0,0.0507,0.052000000000000005,1078000000.0,1156000000.0,3540000000.0,348000000.0,4556000000.0,1984000000.0,3290000000.0,-1842900320.0000002,1266000000.0,304000000.0,807000000.0,170000000.0,34000000.0,-163000000.0,-170000000.0,28000000.0,-108000000.0,-129000000.0,1.421202809482,1.784,1.2051411290323002,0.5433467741935499,0.0346,1.0978,0.0346,1.0978,1.2892,0.1009,4267000000.0,250000000.0,-0.166,0.3693,3.045,2.5512,7.156111,6.346638000000011,6.252855999999998,0.1176,1.8333,0.2827,0.0891,Technology,1,143.54753476454374
SNAP,1180446000.0,0.4309,381581000.0,877846000.0,1650031000.0,-179996704.444436,-226262560.0,-221511580.0,-222508520.0,-0.97,-0.97,1248940072.2799969,1250737344.2399998,0.3233,-1.0585,-122512180.0,-168192723.08,-221183420.0,-1.0618,-1.0639,387149000.0,1279063000.0,1675928000.0,212560000.0,2714106000.0,292691000.0,403107000.0,-1842900320.0000002,2310999000.0,41900000.0,261815000.0,91648000.0,-109545969.99999999,-108966000.0,313054999.9999998,47437000.0,51967000.0,-357533140.0,0.43492995483596,5.726,5.582775008456,1.3227225982350002,-0.5305,0.2977,-0.5305,0.2977,1.7769,0.5493,1955682000.0,764520400.0000002,-0.0838,1.631772,0.6389,0.6361,0.6354,0.6712,0.6712,0.1153,0.0609,-0.2068,-0.22913099999999997,Technology,1,182.03799708626968
FB,33676258073.006508,0.3735,15970500000.0,6756044999.99999,10918299999.999996,5184800000.000001,4472900000.000006,3743699999.999985,3814549441.624353,7.65,7.57,1248940072.2799969,1250737344.2399998,0.8325,0.4542,7233379999.999997,5175667817.2588825,3821023422.167106,0.4542,0.396,5799200000.000004,8050877011.494213,22935184711.98408,19858844600.000008,97334000000.0,7017000000.0,13207000000.0,19512400000.000008,24718950000.000004,1779000000.0,5656000000.0,2067260000.0000002,6379931724.1378975,-2699700000.0,-4963626553.036363,-3570100000.0000005,933075000.0000002,4533185999.999979,0.57367415291676,7.194,6.940430383354699,1.4278181559071002,10.1294,3.4668,10.1294,3.4668,29.1097,1.324,75467350920.85007,764520400.0000002,-4.8149,0.3206,0.2315,0.2331,0.3889,0.3934,0.4045,-0.0118,0.2089,0.1516,0.5599,Technology,1,51.27506712832904
WFC,33676258073.006508,-0.0139,15970500000.0,6756044999.99999,10918299999.999996,5184800000.000001,4472900000.000006,3743699999.999985,3814549441.624353,4.31,4.28,1248940072.2799969,1250737344.2399998,1.0,0.3314,7233379999.999997,5175667817.2588825,3821023422.167106,0.3314,0.2645,5799200000.000004,8050877011.494213,22935184711.98408,8920000000.0,109241000000.0,27167699999.999996,69270934340.99806,19512400000.000008,24718950000.000004,3997989999.999998,15393603099.999842,2067260000.0000002,6379931724.1378975,0.0,-4963626553.036363,-3570100000.0000005,-821100000.0,4533185999.999979,0.04465676415686,0.28050200464118,0.1179953315829,0.1179953315829,7.5157,36.1037,7.5157,36.1037,40.8705,1.7436,75467350920.85007,-42405411219.38778,0.0,-0.0139,0.0352,0.0424,0.0066,0.0411,0.0439,-0.0357,0.9374,-0.0286,-0.0026,Financial Services,1,19.21621178864888
AIG,33676258073.006508,-0.043,15970500000.0,6756044999.99999,10918299999.999996,1573000000.0,148000000.0,-6000000.0,-6000000.0,-0.01,-0.01,884648470.0,898405537.0,0.3423,0.0307,6819000000.0,1457000000.0,61000000.0,0.0031,-0.0001,2873000000.0,8050877011.494213,22935184711.98408,0.0,109241000000.0,27167699999.999996,69270934340.99806,19512400000.000008,24718950000.000004,3997989999.999998,15393603099.999842,2067260000.0000002,61000000.0,0.0,-223000000.0,794000000.0,621000000.0,61000000.0,0.096322238121565,0.61961085363889,0.22327106612455,0.027228872271662995,0.0679,3.1979,0.0679,3.1979,62.7345,-7.184096,75467350920.85007,-42405411219.38778,0.0,0.0167,-0.4418,-0.4017,0.999,0.9985,0.9985,-0.0219,1.0078,-0.0127,0.0965,Financial Services,1,32.87280261506347
T,33676258073.006508,0.0636,15970500000.0,6756044999.99999,10918299999.999996,5184800000.000001,4472900000.000006,3743699999.999985,3814549441.624353,2.85,2.85,1248940072.2799969,1250737344.2399998,0.5349,0.1888,7233379999.999997,5175667817.2588825,3821023422.167106,0.1422,0.1134,5204000000.0,5204000000.0,22935184711.98408,19858844600.000008,109241000000.0,27167699999.999996,69270934340.99806,19512400000.000008,24718950000.000004,3997989999.999998,10981000000.0,2067260000.0000002,6379931724.1378975,-2699700000.0,-4963626553.036363,-3570100000.0000005,-821100000.0,4533185999.999979,0.32105199825519,0.7979999999999999,0.49171064886681,0.08078236572492999,5.9909,0.715,5.9909,0.715,25.2939,2.251,75467350920.85007,-42405411219.38778,-2.8522,0.104,0.5325,0.3068,-0.3423,-0.4025,-0.4013,0.1008,0.1471,0.1976,0.0367,Communication Services,1,40.618216354998616
C,33676258073.006508,0.0057,15970500000.0,6756044999.99999,10918299999.999996,5184800000.000001,4472900000.000006,3743699999.999985,3814549441.624353,6.69,6.68,1248940072.2799969,1250737344.2399998,0.8961,0.3212,7233379999.999997,5175667817.2588825,3821023422.167106,0.3212,0.2477,5799200000.000004,8050877011.494213,22935184711.98408,0.0,109241000000.0,27167699999.999996,69270934340.99806,19512400000.000008,24718950000.000004,3997989999.999998,15393603099.999842,2067260000.0000002,6379931724.1378975,-2699700000.0,-4963626553.036363,1498669999.9999878,933075000.0000002,4533185999.999979,0.037996581799255,0.5148774545621699,0.4332577951495,0.12905640390219,14.8205,75.4442,14.8205,75.4442,78.6989,2.0478,75467350920.85007,-42405411219.38778,-1.4286,0.0045,0.0359,0.0301,3.6545,3.245,3.2416,-0.07391600000000001,4.596855000000002,0.0407,-0.0093,Financial Services,1,53.48648158207718
VALE,33676258073.006508,0.0768,14466000000.0,523000000.0,2511000000.0,5184800000.000001,4472900000.000006,3743699999.999985,3814549441.624353,1.32,1.32,1248940072.2799969,1250737344.2399998,0.3955,0.247,7233379999.999997,5175667817.2588825,3821023422.167106,0.1829,0.1876,5784000000.0,6219000000.0,15292000000.0,19858844600.000008,88190000000.0,9111000000.0,43358000000.0,9780000000.0,24718950000.000004,1959000000.0,2992000000.0,2067260000.0000002,6379931724.1378975,-2699700000.0,159000000.0,-3570100000.0000005,933075000.0000002,4533185999.999979,0.41472956117474,1.6780000000000002,0.97321918559982,0.63483701020744,2.4822,1.1129,2.4822,1.1129,8.4628,1.8806,75467350920.85007,-28066000000.0,-0.7281,0.119,-0.1209,0.0938,0.2457,0.2571,0.2571,-0.0029,0.0362,-0.1108,-0.0151,Basic Materials,1,0.5828063550309523
MS,33676258073.006508,0.057,15970500000.0,6756044999.99999,10918299999.999996,5184800000.000001,4472900000.000006,3743699999.999985,3814549441.624353,4.81,4.73,1248940072.2799969,1250737344.2399998,1.0,0.2767,7233379999.999997,5175667817.2588825,3821023422.167106,0.2767,0.2181,5799200000.000004,8050877011.494213,22935184711.98408,0.0,109241000000.0,27167699999.999996,69270934340.99806,19512400000.000008,24718950000.000004,3997989999.999998,15393603099.999842,1844000000.0,6379931724.1378975,-1865000000.0,-4963626553.036363,1498669999.9999878,933075000.0000002,4533185999.999979,0.04698950594647401,1.7581892635088998,0.39202335326342,0.20795661329982,4.2769,51.0515,4.2769,51.0515,46.9824,0.8885,75467350920.85007,-34918000000.0,-1.0919,0.057,0.0797,0.0802,0.4714,0.5318,0.5407,-0.0456,2.6215,0.0021,0.0404,Financial Services,1,30.210967053055953
AKS,6818200000.0,0.1213,907200000.0,322600000.0,542800000.0,364400000.0,179800000.0,186000000.0,186000000.0,0.59,0.59,315541965.0,315541965.0,0.1331,0.0486,583600000.0,331400000.0,244100000.0,0.0264,0.0273,48600000.0,48600000.0,2201300000.0,1911600000.0,4515700000.0,1128600000.0,4086200000.0,-1842900320.0000002,99900000.0,97000000.0,327600000.0,252200000.0,364700000.0,-152000000.0,-151900000.0,-202200000.0,10600000.0,212700000.0,1.5098877250482,1.95,0.60641502746766,0.043062200956938,1.1558,0.154,1.1558,0.154,0.3166,1.9608,4515700000.0,-1884900000.0,-0.4817,0.0964,0.3068,0.4005,0.7971,0.7879,0.8438,-0.0125,0.8345,0.0091,0.1323,Basic Materials,1,37.65689612741407
JPM,33676258073.006508,0.0827,15970500000.0,6756044999.99999,10918299999.999996,5184800000.000001,4472900000.000006,3743699999.999985,3814549441.624353,8.789599999999982,8.56,1248940072.2799969,1250737344.2399998,1.0,0.3577,7233379999.999997,5175667817.2588825,3821023422.167106,0.3577,0.2817,5799200000.000004,8050877011.494213,22935184711.98408,14934000000.0,109241000000.0,27167699999.999996,69270934340.99806,19512400000.000008,24718950000.000004,3997989999.999998,15393603099.999842,2067260000.0000002,6379931724.1378975,0.0,-4963626553.036363,1498669999.9999878,-821100000.0,4533185999.999979,0.041573944569599,0.5636469066629799,0.32146651330829,0.13305572922384,4.1771,81.25222199999806,4.1771,81.25222199999806,75.5256,0.462,75467350920.85007,-42405411219.38778,0.0,0.0827,0.1462,0.1079,0.3608,0.4236,0.4263,-0.0455,2.3103,0.0351,0.0791,Financial Services,1,44.751098676230576
ORCL,33676258073.006508,0.0421,15970500000.0,6756044999.99999,10918299999.999996,5184800000.000001,4472900000.000006,3587000000.0,3587000000.0,0.87,0.85,1248940072.2799969,1250737344.2399998,0.7953,0.3669,7233379999.999997,5175667817.2588825,3587000000.0,0.3155,0.0911,5799200000.000004,8050877011.494213,22935184711.98408,5897000000.0,109241000000.0,19124000000.0,69270934340.99806,19111000000.0,24718950000.000004,3762000000.0,14104000000.0,2067260000.0000002,6379931724.1378975,-1736000000.0,-4963626553.036363,-3570100000.0000005,-164000000.0,4533185999.999979,0.28569252308652004,3.982,3.7856619953985,1.1305166283204,3.7336,5.2463,3.7336,5.2463,11.2526,4.2894,75467350920.85007,-14819000000.0,-0.4213,0.0324,0.07200000000000001,0.0272,-0.6205,-0.6217,-0.6205,0.005,0.0892,0.0212,0.0495,Technology,1,19.158552111272424
NKE,33676258073.006508,0.0596,15956000000.0,6756044999.99999,10918299999.999996,4445000000.0,4325000000.0,1933000000.0,1933000000.0,1.19,1.17,1248940072.2799969,1250737344.2399998,0.4384,0.1203,5126000000.0,4379000000.0,1933000000.0,0.1188,0.0531,4249000000.0,5245000000.0,15134000000.0,4454000000.0,22536000000.0,6040000000.0,12724000000.0,3517000000.0,9812000000.0,1130000000.0,3419000000.0,747000000.0,4955000000.0,-1025000000.0,276000000.0,-3570100000.0000005,441000000.0,3930000000.0,1.6150603478878,2.506,1.4475165562914,0.70347682119205,3.0515,2.6167,3.0515,2.6167,6.0426,2.5634,22097000000.0,764520400.0000002,-0.6312,0.0421,-0.1145,-0.064,-0.5441,-0.5352,-0.5339,-0.0194,0.2884,-0.0311,0.0897,Consumer Cyclical,1,38.243247618568724
PG,33676258073.006508,0.0273,15970500000.0,6756044999.99999,10918299999.999996,5184800000.000001,4472900000.000006,3743699999.999985,3814549441.624353,3.75,3.67,1248940072.2799969,1250737344.2399998,0.4848,0.2053,7233379999.999997,5175667817.2588825,3821023422.167106,0.1977,0.1459,2569000000.0,8050877011.494213,22935184711.98408,19858844600.000008,109241000000.0,27167699999.999996,65427000000.0,19512400000.000008,24718950000.000004,2046000000.0,7470000000.0,2067260000.0000002,6379931724.1378975,-2699700000.0,-3511000000.0,-3570100000.0000005,-821100000.0,4533185999.999979,0.5648888513228001,0.826,0.58561461911676,0.090979919963169,5.9123,1.0216,5.9123,1.0216,21.0304,1.5248,49233000000.0,-42107000000.0,-1.4782,-0.0006,-0.2722,-0.0293,-0.3638,-0.3534,-0.3435,-0.0303,0.1658,-0.0174,0.0205,Consumer Defensive,1,40.680272751880864
GSM,2274038000.0,0.3056,826684000.0,341064000.0,709930000.0,116754000.0,67896000.0,43661000.0,43661000.0,0.25,0.25,171976731.0,171406272.0,0.3635,0.0571,249055000.0,129918000.0,24573000.0,0.0299,0.0192,216647000.0,219170000.0,882579000.0,888862000.0,2123817000.0,499077000.0,1239445000.0,43661000.0,768227000.0,34350000.0,198999000.0,119137000.0,73777000.0,-106136000.0,-85875000.0,53303000.0,41205000.0,-32359000.0,1.0707316119986,1.768,0.78480875696536,0.4340953399976401,0.4304,1.2639,0.4304,1.2639,4.4819,1.6898,1869147000.0,-356866000.0,-0.6192,0.1839,1.6029,1.9411,7.156111,0.0,0.0,-0.0024,-0.5094,0.0618,0.1295,Basic Materials,0,-43.37349298090662
BBD,22884213402.0619,-0.1691,15970500000.0,6756044999.99999,10918299999.999996,4577742268.0412,4472900000.000006,3743699999.999985,3814549441.624353,0.6082,0.6082,1248940072.2799969,1250737344.2399998,1.0,0.2171,6207666494.8454,4968425515.4639,3821023422.167106,0.2171,0.1868,5799200000.000004,8050877011.494213,22935184711.98408,2274957731.9588,109241000000.0,27167699999.999996,69270934340.99806,524535567.0103,24718950000.000004,3997989999.999998,15393603099.999842,1239240979.3814,-109545969.99999999,-522730154.6392,-4963626553.036363,-1442845618.5567,-821100000.0,-357533140.0,0.068010551502682,0.40861668292368,0.29651693218275,0.15622564074714002,-3.4528,56.9735,-3.4528,56.9735,66.0426,-0.3918,75467350920.85007,-42405411219.38778,-1.0778,-0.1691,-0.3005,-0.3118,-0.1719,-0.1713,-0.1713,0.0,-1.156,-0.0901,-0.1889,Financial Services,1,7.298488876768565
PFE,33676258073.006508,0.021,15970500000.0,6756044999.99999,10918299999.999996,5184800000.000001,4472900000.000006,3743699999.999985,3814549441.624353,1.9,1.87,1248940072.2799969,1250737344.2399998,0.7903,0.2211,7233379999.999997,5175667817.2588825,3821023422.167106,0.2211,0.2079,1139000000.0,8050877011.494213,22935184711.98408,13385000000.0,109241000000.0,27167699999.999996,69270934340.99806,19512400000.000008,24718950000.000004,3997989999.999998,15393603099.999842,2067260000.0000002,6379931724.1378975,-2196000000.0,313054999.9999998,-3570100000.0000005,-205000000.0,4533185999.999979,0.336509390172,1.567,0.8430535501287,0.035752401280683,2.6953,0.194,2.6953,0.194,10.7982,1.4191,70800000000.0,-42405411219.38778,-0.374,0.0262,-0.0326,-0.0342,-0.4766,-0.4678,-0.4688,-0.0134,-0.058,-0.07200000000000001,-0.0236,Healthcare,0,-6.046939564816331
