,Revenue,Revenue Growth,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBIT Margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Cash and short-term investments,Total current assets,"Property, Plant & Equipment Net",Total assets,Total current liabilities,Total liabilities,Retained earnings (deficit),Total shareholders equity,Other Liabilities,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,priceToSalesRatio,assetTurnover,currentRatio,quickRatio,cashRatio,Price to Sales Ratio,Earnings Yield,Income Quality,SG&A to Revenue,Capex to Depreciation,Tangible Asset Value,Net Current Asset Value,Invested Capital,Gross Profit Growth,EBIT Growth,Operating Income Growth,EPS Growth,EPS Diluted Growth,Operating Cash Flow growth,Asset Growth,Sector,Class,2017 PRICE VAR [%]
ABEV,14005712530.7125,0.1835,8883476658.4767,4353992628.9926,3978347665.8477,4422399999.999994,3593000000.0,2599301943.8444777,2740728858.1713333,0.2454,0.2436,1165580220.4600005,1136849765.4799964,0.6343,0.3632,6165724815.7248,4323659999.999998,2757382000.000004,0.282,0.2751,2419164619.1646,2506019656.0196,7336240786.2408,5882616707.6167,25749815724.8157,8837100737.1007,11422020884.5209,-1610210000.0,13766891891.8919,3784398034.398,1078624078.6241,4917771249.999992,-1228224815.7248,-1811425061.4251,-2539980000.0,-672320000.0,3564686581.890722,1.7438,0.5439150586703,0.2549,0.43538868963216,0.27375093836016,1.7438,0.0484,1.4109,0.3109,-1.1387,14767905405.4054,-4085780098.2801,5168980343.9803,0.1439,0.0959,0.012,0.2264,0.2174,-0.1514,0.1274,Consumer Defensive,1,31.05356491064481
TAL,619948777.0,0.4286,316313948.0,234589254.0,231262085.0,85051863.0,136361262.0,102878518.0,102878518.0,0.213,0.2,159827876.0,160109169.0,0.5102,0.2321,163043609.0,143860585.0,102756200.0,0.22,0.1659,435125823.0,479888890.0,515859574.0,114629683.0,1061379033.0,383163427.0,620641546.0,306381011.0,436979903.0,368481484.0,19183024.0,197154860.0,-34696968.0,-215351987.0,-8790451.0,-36115394.0,162457892.0,2.2236,0.5840974408998001,1.346,1.262715293023,1.1356141853278,2.2236,0.0247,1.9164,0.3784,-1.8087,959162095.0,-104781972.0,368700146.0,0.3699,0.7472,0.2647,0.5214,0.4599,0.3359,0.3741,Consumer Defensive,1,148.8996964294103
BRFS,8563851351.3514,0.0501,2134490171.9902,1524508599.5086,1540632678.1327,593857493.8575,7739557.7396,-33108108.1081,-33108108.1081,-0.0412,-0.0412,267958613.6364,246284786.855,0.2492,0.1543,1754391891.8919,1321437346.4373,-112807125.3071,0.0009,-0.0039,2019410319.4103,2256296068.796,5802733415.2334,3607555282.5553,13189465601.9656,3882186732.1867,9436578624.0786,414834152.3342,3636363636.3636,681818181.8181,432954545.4545,1333292383.2924,-494441031.941,-397696560.1966,1814000000.0,305282555.2826,838851351.3514,0.4737,0.64929479402677,0.4592,0.82610518654471,0.52017341223379,0.4737,-0.0027,-7.009733000000001,0.17800000000000002,-1.142,11140141277.6413,-3633845208.8452,11472573710.0737,-0.1647,-0.3266,-0.4588,-1.0438,-1.0438,0.2725,0.2893,Consumer Defensive,0,-25.627477057172776
KHC,26300000000.0,0.4342,9146000000.0,3545000000.0,3545000000.0,4422399999.999994,3593000000.0,2599301943.8444777,2740728858.1713333,2.81,2.78,1165580220.4600005,1136849765.4799964,0.3478,0.2305,6406600000.000002,4323659999.999998,2757382000.000004,0.1874,0.1367,4204000000.0,4204000000.0,8753000000.0,6688000000.0,99714000000.0,9501000000.0,62906000000.0,588000000.0,21868790453.800663,2814000000.0,1337000000.0,2648000000.0,-1247000000.0,194015599.99999964,-2539980000.0,-657000000.0,1401000000.0,4.0512,0.21829349269588,0.921,0.53699610567309,0.4424797389748401,4.0512,0.0321,0.7752,0.1348,-0.9327,17058000000.0,-39463914931.33583,35757000000.0,0.5876,1.6122,1.1224,4.610947999999999,4.610947999999999,1.0818,-0.0203,Consumer Defensive,0,-8.590702298970696
NWL,9181100000.0,0.552,2970900000.0,2610600000.0,2672800000.0,298100000.0,584900000.0,527800000.0,527800000.0,1.25,1.25,482400000.0,421300000.0,0.3236,0.1077,1426300000.0,989100000.0,527800000.0,0.0637,0.0575,587500000.0,587500000.0,7484500000.0,1543400000.0,33837500000.0,4292000000.0,22453100000.0,2289900000.0,11348800000.0,2171200000.0,437200000.0,1840400000.0,-441400000.0,-4923261914.9391,1814000000.0,312700000.0,1399000000.0,2.3602,0.27132914665682,1.744,0.7768872320596499,0.1368825722274,2.3602,0.0278,3.4869,0.2843,-1.0096,9506800000.0,-14968600000.0,16520100000.0,0.2891,0.9467,-0.5043,-0.0385,-0.031,2.1041,1.529889999999997,Consumer Defensive,0,-29.774845168059077
KMB,18287000000.0,-0.0164,6691000000.0,3300000000.0,3308000000.0,3383000000.0,3088000000.0,2166000000.0,2166000000.0,6.03,5.99,358155430.0,358155430.0,0.3659,0.1863,4112000000.0,3407000000.0,2219000000.0,0.1689,0.1184,923000000.0,923000000.0,5115000000.0,7169000000.0,14602000000.0,5846000000.0,14485000000.0,5831000000.0,-83481439.99999999,2104000000.0,705000000.0,3232000000.0,-748000000.0,-732000000.0,-2185000000.0,304000000.0,2484000000.0,2.2437,1.2523626900425,0.875,0.53010605542251,0.15788573383510002,2.2437,0.0526,1.4922,0.1805,-1.061,13122000000.0,-9370000000.0,13925000000.0,0.0101,0.9739,1.0973,1.1691,1.1625,0.4016,-0.0162,Consumer Defensive,1,8.619277304334673
CPB,7961000000.0,-0.015,2928000000.0,1427000000.0,1968000000.0,960000000.0,849000000.0,563000000.0,563000000.0,1.82,1.81,308647031.0,309000000.0,0.3678,0.1211,1272000000.0,964000000.0,563000000.0,0.1066,0.0707,296000000.0,296000000.0,1908000000.0,2407000000.0,7837000000.0,2555000000.0,6304000000.0,1927000000.0,1525000000.0,726000000.0,308000000.0,1491000000.0,-336000000.0,-354000000.0,-1099000000.0,43000000.0,1155000000.0,2.4057,1.0158223810131,0.747,0.36086105675147,0.11585127201566,2.4057,0.0293,2.6483,0.1792,-1.0909,4422000000.0,-4396000000.0,5104000000.0,0.0525,-0.08800000000000001,-0.0892,-0.1455,-0.1502,0.2363,-0.0297,Consumer Defensive,0,-18.525900925619133
TGT,30347000000.0,0.0161,14035658633.625063,5952079999.999989,9216463157.894732,4422399999.999994,3593000000.0,2599301943.8444777,2740728858.1713333,5.35,5.31,616051610.0,627700000.0,0.292,0.0755,6406600000.000002,4323659999.999998,2757382000.000004,0.0673,0.0456,4046000000.0,4046000000.0,14130000000.0,18836180000.0,40262000000.0,12622000000.0,27305000000.0,8188000000.0,12957000000.0,4389000000.0,2001000000.0,4917771249.999992,-1410000000.0,194015599.99999964,-2539980000.0,827469473.684184,3564686581.890722,0.6081,1.8326213302866,1.119,0.32055141815877003,0.32055141815877003,0.6081,0.0735,1.7716,0.1988,-0.6371,40262000000.0,-13175000000.0,36354000000.0,0.0096,3.690034,0.0827,3.0736,3.0742,0.3344,-0.0221,Consumer Defensive,0,-6.5085601510407125
HRL,9523224000.0,0.028,2158175000.0,871974000.0,872965000.0,1285210000.0,1316750000.0,890052000.0,890052000.0,1.68,1.64,529200858.0,529290000.0,0.2266,0.1396,1461589000.0,1329621000.0,890517000.0,0.1383,0.0935,415143000.0,415143000.0,2029912000.0,1105449000.0,6370067000.0,1053196000.0,1918661000.0,4736567000.0,4448006000.0,494104000.0,131968000.0,1040020000.0,-249297000.0,-408474000.0,-557303000.0,67904000.0,790723000.0,2.1394,1.4949958925079,1.927,0.95561794765647,0.39417449363651,2.1394,0.0436,1.1685,0.0916,-1.8891,3632312000.0,111251000.0,2413973000.0,0.1933,0.2437,0.2317,0.2923,0.2913,0.0484,0.0375,Consumer Defensive,1,5.26619350757967
K,12965000000.0,-0.0414,4834000000.0,3351000000.0,3351000000.0,1483000000.0,934000000.0,699000000.0,699000000.0,1.99,1.97,350905165.0,350905165.0,0.3728,0.1034,1857000000.0,1340000000.0,700000000.0,0.07200000000000001,0.0539,280000000.0,280000000.0,2940000000.0,3569000000.0,15111000000.0,4474000000.0,13185000000.0,6571000000.0,1910000000.0,1391000000.0,517000000.0,1271000000.0,-507000000.0,-392000000.0,-786000000.0,29000000.0,764000000.0,1.9858,0.85798424988419,0.657,0.33772910147519,0.062583817612874,1.9858,0.0271,1.8183,0.2585,-0.9807,6947000000.0,-10245000000.0,9960000000.0,0.0327,0.34,0.3593,0.1437,0.1453,-0.2484,-0.0092,Consumer Defensive,0,-4.484752525412458
CAG,8664100000.0,-0.0409,2429200000.0,2024600000.0,2024600000.0,404600000.0,-344558230.95825005,-347256082.93736,-346825730.799144,-1.57,-1.56,436414916.0,436414916.0,0.2804,-0.0386,-56300000.0,-238508270.0,-346551880.0,-0.0728,-0.0781,798100000.0,798100000.0,3576700000.0,1697800000.0,13390600000.0,2532400000.0,9595800000.0,3218300000.0,3713600000.0,1252400000.0,278500000.0,1259200000.0,-241800000.0,194015599.99999964,-2539980000.0,651400000.0,1017400000.0,1.7914,0.64702851253865,1.412,0.57186858316222,0.31515558363608004,1.7914,-0.0441,-1.86,0.2337,-0.8682,7848400000.0,-6019100000.0,9972600000.0,0.0579,-2.1613,-0.5567,-1.6167,-1.6441,-0.1631,-0.2321,Consumer Defensive,0,-3.0677614944370037
PEP,30347000000.0,-0.0041,14035658633.625063,5952079999.999989,9216463157.894732,4422399999.999994,3593000000.0,2599301943.8444777,2740728858.1713333,4.39,4.36,1165580220.4600005,1136849765.4799964,0.5506,0.1568,6406600000.000002,4323659999.999998,2757382000.000004,0.1354,0.1008,5401626436.477094,8361106999.999953,22236826315.78948,16591000000.0,73490000000.0,21135000000.0,62291000000.0,16001145833.333324,11246000000.0,0.0,2001000000.0,4917771249.999992,-2309752292.303819,-4923261914.9391,-2539980000.0,50000000.0,3564686581.890722,2.39,0.85452442509185,1.251,1.0796782588124,0.43330967589307,2.39,0.0419,1.6848,0.3945,-1.242,45627000000.0,-35841000000.0,52279000000.0,0.0073,0.1772,0.1737,0.1833,0.188,-0.0185,0.0549,Consumer Defensive,1,17.795558028898245
COST,30347000000.0,0.0217,14035658633.625063,5952079999.999989,9216463157.894732,3672000000.0,3593000000.0,2350000000.0,2350000000.0,5.36,5.33,438065563.0,438585000.0,0.1332,0.0314,4981000000.0,3726000000.0,2376000000.0,0.0303,0.0198,3379000000.0,4729000000.0,15218000000.0,17043000000.0,33163000000.0,15575000000.0,20831000000.0,7686000000.0,12079000000.0,6863000000.0,1255000000.0,3292000000.0,-2309752292.303819,-2345000000.0,-2419000000.0,-672320000.0,643000000.0,0.6051,2.3873718994869,0.977,0.38401284109149,0.21695024077047,0.6051,0.0327,1.4009,0.1017,-2.1108,33163000000.0,-5613000000.0,19370000000.0,0.0452,0.0081,0.0132,-0.0092,-0.0074,-0.2317,0.0044,Consumer Defensive,1,22.66316838650961
COTY,4349100000.0,-0.0105,2603100000.0,2027800000.0,2348900000.0,254200000.0,116500000.0,156900000.0,156900000.0,0.45,0.44,339087101.0,345500000.0,0.5985,0.0456,430400000.0,198400000.0,179200000.0,0.0268,0.0361,372400000.0,372400000.0,1938400000.0,638600000.0,7035600000.0,1855200000.0,6595200000.0,-37000000.0,360200000.0,772000000.0,232000000.0,501400000.0,-150100000.0,-1059200000.0,592600000.0,31100000.0,351300000.0,2.0264,0.6181562340098901,1.045,0.56883354894351,0.20073307460112,2.0264,0.0173,3.1957,0.4663,-0.647,2772800000.0,-4656800000.0,4643400000.0,-0.0133,-0.2899,-0.3566,-0.3182,-0.3125,-0.0473,0.1689,Consumer Defensive,1,9.587498508832509
MNST,3049393000.0,0.12,1942000000.0,856662000.0,856662000.0,1085338000.0,1079685000.0,712685000.0,712685000.0,1.21,1.19,570974658.0,587874000.0,0.6368,0.3541,1120530000.0,1079685000.0,712685000.0,0.3541,0.2337,377582000.0,598136000.0,1432270000.0,173343000.0,4153471000.0,470589000.0,823762000.0,2107548000.0,3329709000.0,277319000.0,40845000.0,701355000.0,-104530000.0,-256193000.0,-2238391000.0,-672320000.0,596825000.0,8.527000000000001,0.73417943690951,3.044,2.4887683307515003,0.80236044616427,8.527000000000001,0.0266,0.9841,0.2809,-2.5592,1789193000.0,608508000.0,941022000.0,0.1897,0.211,0.4823,0.2474,0.2526,0.3417,-0.2545,Consumer Defensive,1,38.97672297575196
SJM,7811200000.0,0.3721,2967800000.0,1510300000.0,1822500000.0,1145300000.0,977900000.0,688700000.0,688700000.0,5.77,5.76,119684293.0,119684293.0,0.3799,0.1471,1579100000.0,1149000000.0,688700000.0,0.1252,0.0882,109800000.0,109800000.0,1573400000.0,1627700000.0,15984100000.0,1213000000.0,8975600000.0,1267700000.0,7008500000.0,469600000.0,430100000.0,1461000000.0,-197400000.0,-19700000.0,-1498900000.0,-15800000.0,1263600000.0,1.9563,0.4886856313461501,1.297,0.46158285243199,0.090519373454246,1.9563,0.0452,2.1214,0.1934,-0.459,3398600000.0,-7402200000.0,7505800000.0,0.5075,0.9058,0.4835,0.7327,0.7297,0.9767,-0.0489,Consumer Defensive,0,-1.1915330270894524
CL,15195000000.0,-0.0523,9123000000.0,5143000000.0,5168000000.0,3955000000.0,3593000000.0,2441000000.0,2441000000.0,2.74,2.72,888842604.0,888842604.0,0.6004,0.243,4135000000.0,3692000000.0,2586000000.0,0.2365,0.1606,1315000000.0,1315000000.0,4338000000.0,3840000000.0,12123000000.0,3305000000.0,12106000000.0,16001145833.333324,-83481439.99999999,2168000000.0,443000000.0,3141000000.0,-533000000.0,-499000000.0,-2233000000.0,345000000.0,2608000000.0,3.8338,1.2534026231131,1.3130000000000002,0.82481089258699,0.39788199697428,3.8338,0.0418,1.2868,0.3385,-1.2032,8703000000.0,-7768000000.0,10616000000.0,-0.0294,0.4065,0.4181,0.7908,0.7895,0.0651,0.0158,Consumer Defensive,1,17.704098844788447
ADM,30347000000.0,-0.0791,3618000000.0,1981000000.0,2036000000.0,1582000000.0,1813000000.0,1279000000.0,1279000000.0,2.18,2.16,575399675.0,588000000.0,0.058,0.0338,3006000000.0,2106000000.0,1288000000.0,0.0291,0.0205,619000000.0,5926000000.0,21045000000.0,9758000000.0,39769000000.0,13173000000.0,22588000000.0,16001145833.333324,17181000000.0,3982000000.0,900000000.0,-86932880.0,-882000000.0,194015599.99999964,-579000000.0,-235000000.0,-386726320.0,0.4263,1.5677034876411,1.598,0.59447354437106,0.046990055416382,0.4263,0.0472,-5.0884,0.0318,-0.98,36066000000.0,-1543000000.0,29205000000.0,-0.0877,-0.1884,-0.1117,-0.2709,-0.2752,-2.336836,-0.0097,Consumer Defensive,0,-10.533776991628576
DG,20368562000.0,0.0772,6306091000.0,4365797000.0,4365797000.0,1940294000.0,1853024000.0,1165080000.0,1165080000.0,3.96,3.95,290934510.0,294330000.0,0.3096,0.0952,2292399000.0,1939968000.0,1165080000.0,0.091,0.0572,157947000.0,157947000.0,3432410000.0,2264062000.0,11257885000.0,1995596000.0,5880009000.0,2025545000.0,5377876000.0,499992000.0,352431000.0,1391686000.0,-503383000.0,-503383000.0,-1310179000.0,-421876000.0,888303000.0,1.0721,1.8092707466811,1.72,0.079147783419089,0.079147783419089,1.0721,0.0528,1.1945,0.2143,-1.4283,5718302000.0,-2447599000.0,6535313000.0,0.0868,0.0966,0.0968,0.1314,0.1318,0.0488,0.0044,Consumer Defensive,1,26.71097823384931
TAP,4885000000.0,0.3693,1886000000.0,1597200000.0,3605574.1,2821700000.0,3048200000.0,1593900000.0,1593900000.0,7.37,7.184999999999982,196587140.0,212000000.0,0.3861,0.6216879999999997,3708200000.0,3319800000.0,1599800000.0,0.624,0.3263,560900000.0,560900000.0,2169600000.0,4507400000.0,29341500000.0,3157500000.0,17719800000.0,6145300000.0,11418700000.0,5000000.0,388400000.0,1126900000.0,-167300000.0,-4923261914.9391,1814000000.0,158200000.0,959600000.0,3.939,0.16648773920897,0.687,0.43268408551069,0.17764053840063002,3.939,0.0768,0.7070000000000001,0.327,-0.4307,7059500000.0,-15550200000.0,15413600000.0,0.3135,3.690034,3.536583999999999,2.5305,2.5236,0.5741,1.3901,Consumer Defensive,0,-16.152426183637726
SYY,30347000000.0,0.0346,9040472000.0,5952079999.999989,7189972000.0,1850500000.0,1433007000.0,949622000.0,949622000.0,1.66,1.64,563515990.0,573057406.0,0.1795,0.0345,2401863000.0,1739153000.0,949622000.0,0.0285,0.0189,3919300000.0,3919300000.0,10053899000.0,3880442000.0,16721804000.0,4434456000.0,13242196000.0,9006138000.0,3479608000.0,1400002000.0,662710000.0,1988347000.0,-503835000.0,-769102000.0,-2459936000.0,-672320000.0,1484512000.0,0.5728,2.3873718994869,2.267,1.6462607814803,0.88382881688306,0.5728,0.0324,2.0938,0.1428,-0.7603,14392682000.0,-3188297000.0,13474328000.0,0.0572,0.3771,0.5053,0.431,0.4261,0.2783,-0.0705,Consumer Defensive,1,13.922768317817551
NOMD,2029157894.7368,0.0,601052631.5789,940367.5999999999,314105263.1579,286947368.4211,80000000.0,38315789.4737,38315789.4737,0.2105,0.2105,187836736.8421,187836736.8421,0.2962,0.0716,145368421.0526,145368421.0526,38315789.4737,0.0394,0.0189,346842105.2632,346842105.2632,919789473.6842,313894736.8421,4957368421.0526,792736842.1053,2954736842.1053,-510526315.7895,2002631578.9474,294105263.1579,0.0,296947368.4211,-40000000.0,-53052631.5789,-71263157.8947,172631578.9474,256947368.4211,0.9164,0.4093215840322701,1.2211,0.61824458903198,0.43752489709205,0.9164,0.0213,7.75,0.0,0.0,1302421052.6316,-2034947368.4211,1691052631.5789,1.0584,0.0472,1.0671,1.0581,1.0581,4.706,-0.0763,Consumer Defensive,1,70.80808584841664
CHD,3493100000.0,0.029,1590600000.0,866400000.0,866400000.0,724200000.0,705900000.0,459000000.0,459000000.0,1.78,1.75,258603709.0,257600000.0,0.4554,0.21,841200000.0,733600000.0,459000000.0,0.2021,0.1314,187800000.0,187800000.0,756800000.0,588600000.0,4354100000.0,1001900000.0,2376200000.0,2926000000.0,1977900000.0,6200000.0,107600000.0,655300000.0,-49800000.0,-354600000.0,-439600000.0,-142200000.0,605500000.0,3.2826,0.80225534553639,0.755,0.47389959077752,0.18744385667232,3.2826,0.0401,1.4277,0.248,-0.4628,1478200000.0,-1619400000.0,1408700000.0,0.0521,0.1017,0.0742,0.1338,0.1364,0.0812,0.0228,Consumer Defensive,1,14.936454918110226
