,Revenue,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,"Property, Plant & Equipment Net",Total assets,Total liabilities,Retained earnings (deficit),Total shareholders equity,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,priceToSalesRatio,returnOnEquity,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Price to Sales Ratio,Earnings Yield,Income Quality,SG&A to Revenue,Capex to Depreciation,Tangible Asset Value,Invested Capital,ROE,Capex per Share,Gross Profit Growth,EBIT Growth,Operating Income Growth,Sector,Class,2015 PRICE VAR [%]
ABEV,14299586932.0315,9487495306.0458,4122718738.2651,3510927525.3474,4701239999.999997,4176913294.028872,3165898639.999996,3126309534.789122,0.2891,0.2854,1378612731.1199982,1357136667.8999963,0.6635,0.1769,0.4083,0.119,0.3792,6736763049.1926,4984315999.999997,3278711732.522755,0.3695,0.3168,3650807360.1202,5910664663.9129,27090987607.9609,10701689823.5073,2142454652.2469802,15854900488.1712,898422831.3932,5775839999.999995,-1630153961.6973,-1790461885.092,-2759109880.7495604,-522375466.529576,3666010000.0,2.5584,0.2858,0.52783557170243,3.1932,0.879,1.653,6.4746,2.0515,3.1932,0.879,1.653,1.0124,0.9801,7.1788,2.5584,0.0465,1.5566,0.2883,-1.8145,15353173113.0304,4528877206.1585,0.2858,-0.7381,-0.0471,-0.0516,-0.0873,Consumer Defensive,0,-22.605312498627963
TAL,313895205.0,162352089.0,106060908.0,104956158.0,57395931.0,67285526.0,60605772.0,60605772.0,0.13,0.127,156120150.0,156726994.0,0.5172,0.246,0.2144,0.193,0.2892,77296860.0,67285526.0,60605772.0,0.2144,0.1931,270256259.0,78625191.0,427598767.0,167602366.0,144311994.0,259996401.0,10011334.0,101558366.0,-10793093.0,-17402866.0,0.0,84849898.0,90765273.0,1.9662,0.2331,0.73408819020285,0.21600000000000005,0.381,0.5748,0.6676,0.1289,0.21600000000000005,0.381,0.5748,0.5529999999999999,0.92302,0.5529999999999999,1.9662,0.0329,1.6757,0.3379,-1.0781,417553350.0,-1963800.0000000002,0.2331,-0.023,0.4735,0.7923,0.7927,Consumer Defensive,1,65.3736654622368
BRFS,10892527224.9343,3195418700.7135,1734359744.6489,1898873450.9951,1296545249.7184,967930904.9944,835523845.2873,835523845.2873,0.9598,0.9594,327627955.6891,326853949.6808,0.2934,0.0668,0.1775,0.0289,0.0001,1934033195.644,1933571160.3455,835448742.0203,0.0889,0.0767,2255689072.4747,3777431468.2689,13557529102.516,7665715358.6181,1481712354.4874,5854449868.5693,462035.2985,1878257.6042,-513668.7946,-718588.0586,-213330.8299,1081186.6316,1364588.8096,0.7023,0.1427,0.80343011935065,0.0153,2.122,18.3787,88.7493,6.8076,0.0153,2.122,18.3787,6.7262,13.7086,47.7004,0.7023,0.0411,0.0022,0.1592,-1.1118,11932069095.0056,10702553511.0777,0.1427,-0.0042,0.0918,0.6563,0.6252,Consumer Defensive,0,-38.54874897853703
KHC,10922000000.0,3277000000.0,1709000000.0,1709000000.0,1568000000.0,788000000.0,657000000.0,-63000000.0,-0.17,-0.17,200732020.42437267,195269980.41227823,0.3,0.183,0.135,-0.006,0.1594,2004000000.0,1474000000.0,672000000.0,0.0721,0.0602,2298000000.0,2365000000.0,36571000000.0,20886000000.0,0.0,7117000000.0,530000000.0,2140000000.0,-399000000.0,-349000000.0,-1820000000.0,-161000000.0,1741000000.0,8.4379,0.0923,0.29865193732739004,4.266850258503402,1.6516702585034007,11.226095496598637,73.80672281879195,1.5665607785234892,4.250084395973154,1.6440973154362415,11.226095496598637,13.625065850340137,27.141382503401356,28.01018029931972,8.4379,-0.0099,-6.915212,0.1565,-0.7528,8424000000.0,16392000000.0,0.0923,-2.537997986577181,0.13497042176870747,0.11614816326530614,0.0706850612244902,Consumer Defensive,1,2.0659632484645383
NWL,5727000000.0,2203400000.0,1480500000.0,1598700000.0,604700000.0,466900000.0,377800000.0,377800000.0,1.37,1.35,271100000.0,276100000.0,0.3847,0.119,0.0921,0.066,0.0825,683400000.0,527300000.0,377800000.0,0.0815,0.066,199400000.0,559100000.0,6564300000.0,4709400000.0,2111200000.0,1851400000.0,156100000.0,634100000.0,-161900000.0,-751900000.0,119000000.0,-26900000.0,472200000.0,1.8031,0.2041,0.87244641469768,2.2966,1.71,0.7222,20.7425,1.3683,2.2966,1.71,0.7222,6.706,11.34,6.7055,1.8031,0.036000000000000004,1.6784,0.2585,-1.0372,3131100000.0,3525000000.0,0.2041,-0.5864,0.0369,-0.1948,-0.0169,Consumer Defensive,1,18.603845240198435
KMB,19724000000.0,6683000000.0,3709000000.0,4162000000.0,2521000000.0,2382000000.0,1526000000.0,1526000000.0,4.07,4.04,372455181.0,372455181.0,0.3388,0.179,0.1352,0.077,0.0916,3528000000.0,2666000000.0,1595000000.0,0.1208,0.0774,789000000.0,7359000000.0,15526000000.0,14527000000.0,8470000000.0,729000000.0,862000000.0,2845000000.0,-1039000000.0,-770000000.0,-1893000000.0,-265000000.0,1806000000.0,2.1818,0.7597259999999966,1.2703851603761,7.6385,4.849,2.1184,52.9567,4.0971,7.6385,4.849,2.1184,1.957,37.315,1.9573,2.1818,0.0352,1.8644,0.188,-1.2053,13898000000.0,13839000000.0,0.7600679999999989,-2.7896,0.0112,-0.1802,-0.1316,Consumer Defensive,1,13.745828918763074
CPB,8268000000.0,2971000000.0,1505000000.0,1704000000.0,1267000000.0,1240000000.0,866000000.0,866000000.0,2.76,2.74,313914401.0,314000000.0,0.3593,0.202,0.1647,0.105,0.0694,1667000000.0,1362000000.0,855000000.0,0.15,0.1047,232000000.0,2318000000.0,8113000000.0,6510000000.0,2198000000.0,1615000000.0,305000000.0,899000000.0,-325000000.0,-134000000.0,-925000000.0,-169000000.0,574000000.0,1.6034,0.5362,1.0191051398989002,2.8631,2.191,0.7389,26.3312,2.758,2.8631,2.191,0.7389,5.143,14.347,5.1433,1.6034,0.0654,1.0381,0.182,-1.0656,4505000000.0,5299000000.0,0.5362,-1.035,0.0203,0.5691,0.1731,Consumer Defensive,1,22.628762719616688
TGT,39912360000.0,15374950000.0,6623941733.656173,10529209026.087639,4701239999.999997,3398000000.0,1971000000.0,1971000000.0,3.1,3.07,632087699.0,635100000.0,0.298,0.09,0.0624,0.028,0.066,6443000000.0,4447000000.0,1971000000.0,0.0477,0.0277,670000000.0,19467000000.0,44553000000.0,28322000000.0,12599000000.0,16231000000.0,1960250000.0000043,5775839999.999995,-1816000000.0,-271000000.0,-2759109880.7495604,-89000000.0,3666010000.0,0.4914,0.1214,1.5998698179696,10.2661,4.637,1.055,112.2327,3.1034,10.2661,4.637,1.055,25.557,70.15100000000001,25.5566,0.4914,0.0559,3.3080000000000003,0.2029,-0.9098,44553000000.0,43678000000.0,0.1214,-2.8594,-0.0461,-0.1801,-0.1674,Consumer Defensive,0,-0.8406475611562578
HRL,9316256000.0,1564983000.0,650948000.0,650948000.0,914035000.0,918803000.0,602677000.0,602677000.0,1.14,1.12,526913054.0,527624000.0,0.168,0.114,0.1,0.065,0.0642,1061551000.0,931507000.0,606026000.0,0.0986,0.0647,334174000.0,1001767000.0,5455619000.0,1843563000.0,3805654000.0,3605678000.0,130044000.0,746879000.0,-148853000.0,-616775000.0,-229370000.0,-99840000.0,598026000.0,1.4855,0.1671,1.7076441738325,1.4156,1.1334,0.6334,17.657,1.1422,1.4156,1.1334,0.6334,6.834,6.964,6.8338,1.4855,0.0434,1.2393,0.0699,-1.1446,3674323000.0,2635457000.0,0.1671,-0.2821,0.1077,0.1541,0.1637,Consumer Defensive,1,58.66678305832708
CAG,11838200000.0,2927400000.0,1778900000.0,1778900000.0,1148500000.0,481400000.0,303100000.0,303100000.0,0.72,0.7,421152688.0,421152688.0,0.2473,0.103,0.0726,0.026,0.0969,1213500000.0,858900000.0,315100000.0,0.0407,0.0256,141300000.0,3636000000.0,19319500000.0,13964300000.0,5010600000.0,5258500000.0,354600000.0,1568600000.0,-421100000.0,-531500000.0,-1034100000.0,-800000.0,1147500000.0,0.8738,0.0576,0.61275912937705,3.7245,2.417,0.3355,28.109,0.7197,3.7245,2.417,0.3355,12.486,19.675,12.486,0.8738,0.0293,5.1752,0.1503,-1.1875,8286100000.0,14448800000.0,0.0576,-0.9999,-0.13,-0.3917,-0.1159,Consumer Defensive,1,21.62501550596322
PEP,39912360000.0,15374950000.0,6623941733.656173,10529209026.087639,4701239999.999997,4176913294.028872,3165898639.999996,3126309534.789122,4.31,4.27,1378612731.1199982,1357136667.8999963,0.5315,0.184,0.1443,0.098,0.1164,6975319999.999995,4984315999.999997,3278711732.522755,0.1306,0.0977,6134000000.0,17244000000.0,70509000000.0,52961000000.0,16864965145.436275,17578000000.0,1960250000.0000043,5775839999.999995,-2744000000.0,-4937000000.0,-2759109880.7495604,-522375466.529576,3666010000.0,2.171,0.3705,0.94573742359131,6.9622,5.144,4.0649,44.1902,4.3161,6.9622,5.144,4.0649,11.649,27.472,11.6488,2.171,0.0446,1.6131,0.3865,-1.0453,41456000000.0,46127000000.0,0.3705,-1.8184,0.0078,-0.0137,-0.0128,Consumer Defensive,1,8.886701373838283
COST,39912360000.0,14182000000.0,6623941733.656173,10529209026.087639,3220000000.0,3167000000.0,2058000000.0,2058000000.0,4.69,4.65,438295696.0,438693000.0,0.1259,0.038,0.0291,0.018000000000000002,0.0177,4309000000.0,3280000000.0,2088000000.0,0.0281,0.0183,5738000000.0,14830000000.0,33024000000.0,20509000000.0,7458000000.0,12303000000.0,1029000000.0,3984000000.0,-1993000000.0,-2093000000.0,-786000000.0,768053239.9999998,1991000000.0,0.473,0.1673,2.6762641560515705,9.0815,3.107,13.0798,256.7627,4.6912,9.0815,3.107,13.0798,28.045,75.278,28.0447,0.473,0.0386,1.9359,0.0968,-1.9368,33024000000.0,17967000000.0,0.1673,-4.543,0.0737,0.0486,0.0547,Consumer Defensive,1,19.06252433079839
COTY,4551600000.0,2685900000.0,2219600000.0,2660200000.0,25700000.0,-77300000.0,-97400000.0,-97400000.0,-0.26,-0.26,379427027.0,381700000.0,0.5901,0.053,-0.0019,-0.021,0.0736,241900000.0,-8800000.0,-64200000.0,-0.017,-0.0214,1238000000.0,540300000.0,6592500000.0,5631900000.0,-426400000.0,843800000.0,250700000.0,536500000.0,-201500000.0,-257600000.0,-5700000.0,317600000.0,335000000.0,1.4280000000000002,-0.1154,0.69042093287827,1.4056,0.7070000000000001,3.2434,11.9245,-0.2552,1.4056,0.7070000000000001,3.2434,2.211,8.941,2.2106,1.4280000000000002,-0.0152,-5.5082,0.4877,-0.8037,3412600000.0,3870800000.0,-0.1154,-0.5279,-0.0369,-1.0244,-0.9315,Consumer Defensive,1,26.68124147146635
MNST,2464867000.0,1339810000.0,592305000.0,592305000.0,747505000.0,745788000.0,483185000.0,483185000.0,0.96,0.92,502913760.0,501771000.0,0.5436,0.313,0.3026,0.196,0.2301,771439000.0,745788000.0,483185000.0,0.3026,0.196,370323000.0,90156000.0,1938875000.0,423725000.0,2330510000.0,1515150000.0,25651000.0,597491000.0,-30400000.0,-440403000.0,7374000.0,158974000.0,567091000.0,7.369,0.3189,1.2712872155245,1.1908,1.13,0.738,4.9123,0.963,1.1908,1.13,0.738,3.02,3.727,3.0196,7.369,0.0266,1.2366,0.2403,-1.1851,1870048000.0,1144009000.0,0.3189,-0.0606,0.1423,0.3226,0.3047,Consumer Defensive,1,37.72188931205835
SJM,5610600000.0,2031000000.0,988800000.0,1112000000.0,919000000.0,849700000.0,565200000.0,565200000.0,5.42,5.42,103688935.0,103688935.0,0.362,0.211,0.1656,0.101,0.1047,1185500000.0,929100000.0,565200000.0,0.1514,0.1007,153500000.0,1265600000.0,9060200000.0,4030600000.0,1091000000.0,5029600000.0,256400000.0,856000000.0,-268800000.0,-370300000.0,-575500000.0,-102900000.0,587200000.0,1.7867,0.1124,0.61925785302753,8.2555,6.084,1.4804,54.1099,5.4509,8.2555,6.084,1.4804,48.507,28.332,48.5066,1.7867,0.0561,1.5145,0.1762,-1.0484,2937700000.0,4114700000.0,0.1124,-2.5924,0.0017,0.0202,0.0094,Consumer Defensive,1,25.632152051356968
CL,17277000000.0,10109000000.0,5982000000.0,6552000000.0,3557000000.0,3374000000.0,2180000000.0,2180000000.0,2.38,2.36,911398318.0,911398318.0,0.5851,0.222,0.1967,0.126,0.1471,3840000000.0,3398000000.0,2339000000.0,0.1953,0.1262,1089000000.0,4080000000.0,13459000000.0,12074000000.0,16864965145.436275,1145000000.0,442000000.0,3298000000.0,-757000000.0,-859000000.0,-2170000000.0,127000000.0,2541000000.0,3.6499,0.7597259999999966,1.2836763503975,3.6186,2.7880000000000003,1.1949,18.9566,2.3919,3.6186,2.7880000000000003,1.1949,1.256,10.686,1.2563,3.6499,0.0344,1.5128,0.3462,-1.7127,9739000000.0,10852000000.0,0.7600679999999989,-0.8306,-0.009000000000000001,0.0032,0.0003,Consumer Defensive,0,-1.3486026129171749
ADM,39912360000.0,4768000000.0,1933000000.0,2038000000.0,2730000000.0,3125000000.0,2248000000.0,2248000000.0,3.44,3.43,643787556.0,653000000.0,0.0587,0.054000000000000006,0.0426,0.028,0.0499,4356000000.0,3462000000.0,2253000000.0,0.0385,0.0277,1099000000.0,9851000000.0,43997000000.0,24367000000.0,15701000000.0,19630000000.0,894000000.0,4943000000.0,-894000000.0,-3407000000.0,-2759109880.7495604,-522375466.529576,3666010000.0,0.4123,0.1145,1.8456031093029,7.5697,6.2006,1.683,124.3507,3.4426,7.5697,6.2006,1.683,30.061,62.182,30.0613,0.4123,0.0662,2.1988,0.0238,-1.0,40605000000.0,29564000000.0,0.1145,-1.3691,0.226,0.4276,0.4591,Consumer Defensive,0,-27.728082300006594
DG,17504167000.0,5435742000.0,3699557000.0,3699557000.0,1736185000.0,1628330000.0,1025116000.0,1025116000.0,3.17,3.17,320255172.0,322886000.0,0.3105,0.117,0.0981,0.059,0.055,2050151000.0,1717314000.0,1025116000.0,0.093,0.0586,505566000.0,2080305000.0,10867524000.0,5465331000.0,2125453000.0,5402193000.0,332837000.0,1213065000.0,-249978000.0,-249978000.0,-598330000.0,364757000.0,963087000.0,1.0304,0.1898,1.6106858379148998,3.7569,1.69,1.5658,54.2116,3.1749,3.7569,1.69,1.5658,16.730999999999998,16.48,16.730999999999998,1.0304,0.0563,1.1833,0.2114,-0.7511,5321290000.0,5822507000.0,0.1898,-0.7742,0.0689,0.0566,0.0489,Consumer Defensive,1,2.7615954905003988
TAP,4146300000.0,1653000000.0,1163900000.0,1488300000.0,164700000.0,583000000.0,514000000.0,514000000.0,2.78,2.76,164240782.0,184900000.0,0.3987,0.251,0.1756,0.124,0.2502,1041000000.0,728000000.0,517800000.0,0.1406,0.124,624600000.0,1798000000.0,13980100000.0,6094000000.0,4439900000.0,7863300000.0,313000000.0,1287900000.0,-250700000.0,-239400000.0,-817300000.0,231200000.0,1037200000.0,2.9518,0.0654,0.29658586133146003,6.9654,5.61,3.378,22.4246,2.7799,6.9654,5.61,3.378,42.527,32.626999999999995,42.5273,2.9518,0.0373,2.5056,0.2807,-0.8009999999999999,6032700000.0,6253500000.0,0.0654,-1.3559,-0.0045,-0.1282,-0.3825,Consumer Defensive,1,29.902934797940002
SYY,39912360000.0,8181035000.0,6593913000.0,6593913000.0,1587122000.0,1475624000.0,931533000.0,931533000.0,1.59,1.58,584569243.0,585988084.0,0.1759,0.046,0.0344,0.02,0.0214,2147141000.0,1599365000.0,931533000.0,0.0317,0.02,558458000.0,3985618000.0,13141113000.0,7874418000.0,8770751000.0,5266695000.0,547776000.0,1492815000.0,-497416000.0,-576838000.0,-915858000.0,761000.0,995399000.0,0.4706,0.1769,2.6762641560515705,2.5475,1.723,0.953,79.3817,1.5897,2.5475,1.723,0.953,8.988,18.794,8.9877,0.4706,0.0425,1.6025,0.1418,-0.9081,11013214000.0,8820208000.0,0.1769,-0.8489,0.0231,-0.0457,-0.043,Consumer Defensive,1,5.346119421342533
CHD,3297600000.0,1452900000.0,811700000.0,811700000.0,641200000.0,624900000.0,413900000.0,413900000.0,1.53,1.51,267549210.0,270200000.0,0.4406,0.225,0.1978,0.126,0.1425,743500000.0,652300000.0,413900000.0,0.1895,0.1255,423000000.0,616200000.0,4359200000.0,2257300000.0,2414900000.0,2101900000.0,91200000.0,540300000.0,-70500000.0,-288400000.0,-306600000.0,-73900000.0,469800000.0,3.1971,0.1969,0.75646907689484,1.9996,1.739,1.5655,12.2043,1.5318,1.9996,1.739,1.5655,7.779,6.52,7.7791,3.1971,0.0388,1.3054,0.2461,-0.773,1761800000.0,1520100000.0,0.1969,-0.2609,0.0104,0.0428,0.0305,Consumer Defensive,1,10.792636011688504
BG,39912360000.0,2621000000.0,1691000000.0,1691000000.0,930000000.0,764000000.0,515000000.0,467000000.0,3.2,3.17,145195396.0,145195396.0,0.0459,0.03,0.0194,0.008,0.0102,1718000000.0,1111000000.0,517000000.0,0.0134,0.009000000000000001,1705000000.0,5626000000.0,21432000000.0,12742000000.0,7180000000.0,8446000000.0,607000000.0,1399000000.0,-817000000.0,-685000000.0,-1058000000.0,-380000000.0,582000000.0,0.2309,0.061,2.6670865994774,9.6353,4.008,11.7428,393.6833,3.5469,9.6353,4.008,11.7428,58.17,143.441,58.1699,0.2309,0.0352,2.9957,0.0296,-1.346,20827000000.0,15618000000.0,0.061,-5.6269,-0.0504,-0.2937,-0.2256,Consumer Defensive,0,-23.422109738587288
PBH,597381000.0,335551000.0,133449000.0,146935000.0,188616000.0,101748000.0,72615000.0,72615000.0,1.41,1.39,51800179.0,51641000.0,0.5617,0.308,0.2852,0.122,0.1822,183876000.0,170390000.0,72615000.0,0.1703,0.1216,28331000.0,9597000.0,1795663000.0,1232303000.0,149145000.0,563360000.0,13486000.0,111582000.0,-2761000.0,-57976000.0,-41153000.0,12661000.0,108821000.0,2.3629,0.1289,0.33267990708724,2.1607,2.515,0.5486,11.568,1.4062,2.1607,2.515,0.5486,10.909,4.065,10.9092,2.3629,0.0517,1.5366,0.2234,-0.2047,209935000.0,1031660000.0,0.1289,-0.0535,-0.0238,-0.1053,-0.017,Consumer Defensive,1,49.60767152141679
