,Revenue,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBIT Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Cash and short-term investments,Total current assets,"Property, Plant & Equipment Net",Total assets,Total current liabilities,Total liabilities,Retained earnings (deficit),Total shareholders equity,Other Liabilities,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,priceToSalesRatio,returnOnEquity,assetTurnover,currentRatio,quickRatio,cashRatio,Price to Sales Ratio,Earnings Yield,Income Quality,Capex to Depreciation,Tangible Asset Value,Net Current Asset Value,Invested Capital,ROE,Gross Profit Growth,Operating Income Growth,Operating Cash Flow growth,Sector,Class,2016 PRICE VAR [%]
ABEV,11833890577.5076,7765653495.4407,3409118541.0334,2918718338.3992,4374394599.406565,3811930623.145408,2945109999.999978,2984166824.925854,0.2001,0.2001,1240626191.4000022,1209503567.3304286,0.6562,0.3923,0.4309,5420668693.0091,4558338241.042354,3112309351.409623,0.3437,0.2659,3449898682.8774,3504381965.5522,7171859169.1996,4848049645.3901,22841008105.3698,7634726443.769,10091843971.6312,-1550013960.0,12242122593.7183,4132320162.1074,778774062.8166,5535029999.999994,-1307345491.388,-1518996960.4863,-2307700000.0,571428571.4286,3579950000.0000076,1.5003,0.2571,0.51809843606358,0.2378,0.59720853695354,0.45186932476055,1.5003,0.0449,2.0359,-1.6787,13710992907.8014,-2919984802.4316,3538728470.1114,0.2571,-0.1815,-0.189,-0.0916,Consumer Defensive,1,19.04743594414691
TAL,433969569.0,230895612.0,164111825.0,163647498.0,67248114.0,76525116.0,67156575.0,67156575.0,0.14,0.13699999999999998,157735146.0,158381576.0,0.5321,0.1897,0.2695,94802184.0,82336404.0,67144021.0,0.1763,0.1547,470763599.0,492758973.0,539432534.0,93575648.0,772414637.0,232555023.0,458843821.0,207522766.0,313292575.0,227827454.0,12465780.0,147577987.0,-30605002.0,-145785010.0,201837942.0,200226859.0,116972985.0,1.8816,0.2144,0.56183498889341,2.32,2.1209495870575,2.0243106036888,1.8816,0.027000000000000003,2.1975,-2.4551,756397056.0,80588713.0,279140440.0,0.2144,0.4222,0.1717,0.4531,Consumer Defensive,1,55.30218837633548
BRFS,8155167173.2523,2555445795.3394,1345491388.0446,1458130699.0881,1097315096.2513,689387031.4083,788044579.5339,788044579.5339,0.9417,0.9415,219558725.6839,213272546.0993,0.3134,0.2406,0.0714,2295795339.4124,1962310030.3951,793009118.541,0.0845,0.0966,1699392097.2644,1995187436.6768,4858181357.6494,2764893617.0213,10229989868.2877,2943566362.7153,6725430597.771,1539209726.4438,3423733535.9676,609625126.6464,333485309.0172,1047771023.3029,-465856129.6859,-427127659.5745,-1087613981.7629,-163145896.6565,581914893.617,0.3721,0.2302,0.79718233138557,0.4179,1.011719960073,0.57732420059889,0.3721,0.0681,1.3296,-1.3969,8960764944.2756,-1867249240.1216,8628976697.0618,0.2302,-0.2003,-0.1537,5.115931999999994,Consumer Defensive,1,10.830041857956784
NWL,5915700000.0,2304600000.0,1573900000.0,1703200000.0,601400000.0,428200000.0,350000000.0,350000000.0,1.3,1.29,267100000.0,269300000.0,0.3896,0.0859,0.0645,679700000.0,508100000.0,350000000.0,0.0724,0.0592,274800000.0,274800000.0,2493500000.0,599200000.0,7259500000.0,1988600000.0,5433100000.0,2090900000.0,1822900000.0,957400000.0,171600000.0,592900000.0,-211400000.0,-649900000.0,145200000.0,75400000.0,381500000.0,1.9903,0.192,0.81489083270198,1.254,0.76712259881324,0.13818766971739002,1.9903,0.0295,1.694,-1.2319,3404600000.0,-2939600000.0,4199100000.0,0.192,0.0459,-0.0055,-0.065,Consumer Defensive,1,4.493916078788673
KMB,18591000000.0,6624000000.0,3443000000.0,5011000000.0,1613000000.0,1431000000.0,1013000000.0,1013000000.0,2.78,2.77,362994411.0,362994411.0,0.3563,0.0928,0.0672,2472000000.0,1726000000.0,1066000000.0,0.077,0.0545,619000000.0,619000000.0,5426000000.0,7104000000.0,14842000000.0,6349000000.0,14802000000.0,4994000000.0,-54196236.080000006,2068000000.0,746000000.0,2306000000.0,-1056000000.0,-1050000000.0,-1298000000.0,-170000000.0,1250000000.0,2.4856,-1.607726,1.2525939900283,0.855,0.4567648448574601,0.09749566860923,2.4856,0.0218,2.2764,-1.4155,13396000000.0,-9376000000.0,14203000000.0,-1.60826,-0.0088,-0.3602,-0.1895,Consumer Defensive,0,-7.087421408010563
CPB,8082000000.0,2782000000.0,1485000000.0,1728000000.0,1054000000.0,949000000.0,666000000.0,666000000.0,2.13,2.13,310520682.0,312000000.0,0.3442,0.1308,0.1041,1360000000.0,1057000000.0,666000000.0,0.1174,0.0824,253000000.0,253000000.0,2093000000.0,2347000000.0,8077000000.0,2806000000.0,6700000000.0,1754000000.0,1381000000.0,719000000.0,303000000.0,1206000000.0,-365000000.0,-603000000.0,-550000000.0,21000000.0,841000000.0,1.9165,0.4823,1.0006190417234,0.746,0.32074126870991,0.09016393442622997,1.9165,0.0427,1.8108,-1.2046,4528000000.0,-4607000000.0,5551000000.0,0.4823,-0.0636,-0.1681,0.3415,Consumer Defensive,1,20.44386644702241
TGT,32578800000.000015,14554530625.83416,6376499999.999994,9820627155.265985,4374394599.406565,-432000000.0,-370686900.0,-375324950.0,-2.58,-2.56,636964385.0,634700000.0,0.2939,0.0062,0.0382,2579000000.0,450000000.0,-369853960.0,-0.0059,-0.0225,2210000000.0,2210000000.0,13624000000.0,19721000000.0,41172000000.0,11736000000.0,27175000000.0,9644000000.0,13997000000.0,3886000000.0,1967800000.000002,4465000000.0,-1691000000.0,-1926000000.0,-1024000000.0,668325000.0,2774000000.0,0.6513,-0.1169,1.7637714951909,1.161,0.18830947511929005,0.18830947511929005,0.6513,-0.0347,-2.7292,-0.7943,41172000000.0,-13551000000.0,39951000000.0,-0.1169,0.0047,-0.0511,-0.3152,Consumer Defensive,1,1.4253391429079385
HRL,9263863000.0,1808581000.0,743611000.0,765148000.0,1043433000.0,1055967000.0,686088000.0,686088000.0,1.3,1.27,529033756.0,528143000.0,0.1952,0.1154,0.0935,1202512000.0,1069078000.0,687264000.0,0.114,0.0741,347239000.0,347239000.0,2063032000.0,1011739000.0,6139831000.0,1214025000.0,2138438000.0,4216125000.0,3998198000.0,467012000.0,133434000.0,991992000.0,-125562000.0,-900947000.0,-70627000.0,13065000.0,866430000.0,1.9308,0.1716,1.5088140048154,1.699,0.7849327649760101,0.28602294021952,1.9308,0.0385,1.4459,-0.941,3613128000.0,-75406000.0,2486864000.0,0.1716,0.1557,0.1416,0.3282,Consumer Defensive,0,-8.627693871495469
K,14580000000.0,5063000000.0,4039000000.0,4039000000.0,1024000000.0,818000000.0,632000000.0,632000000.0,1.76,1.75,355033895.0,355033895.0,0.3473,0.0704,0.0831,1530000000.0,1027000000.0,633000000.0,0.0561,0.0433,443000000.0,443000000.0,3340000000.0,3769000000.0,15153000000.0,4364000000.0,12302000000.0,6689000000.0,2789000000.0,1401000000.0,503000000.0,1793000000.0,-582000000.0,-573000000.0,-1063000000.0,170000000.0,1211000000.0,1.5648,0.2266,0.96218570580083,0.765,0.39390467461045,0.10151237396884,1.5648,0.0274,2.837,-1.1571,7110000000.0,-8962000000.0,9673000000.0,0.2266,-0.1704,-0.6391,-0.0077,Consumer Defensive,1,5.71740091129726
CAG,9034000000.0,2296200000.0,1383400000.0,1383400000.0,912800000.0,-39900000.0,-252600000.0,-252600000.0,-0.6,-0.59,427052296.0,427052296.0,0.2542,0.0319,0.1404,572900000.0,288300000.0,-240800000.0,-0.0044,-0.028,164700000.0,164700000.0,3563300000.0,2644600000.0,17437800000.0,3310100000.0,12827800000.0,4331100000.0,4526000000.0,1214400000.0,284600000.0,1504600000.0,-236500000.0,-41600000.0,-1454200000.0,0.0,1268100000.0,1.4299,-0.0558,0.51806994001537,1.0759999999999998,0.27301289991239003,0.049756804930365,1.4299,-0.0198,-5.9565,-0.831,11620700000.0,-9264500000.0,16050400000.0,-0.0558,-0.2156,-0.2052,-0.0408,Consumer Defensive,1,25.94575356766272
PEP,32578800000.000015,14554530625.83416,6376499999.999994,9820627155.265985,4374394599.406565,3811930623.145408,2945109999.999978,2984166824.925854,3.71,3.67,1240626191.4000022,1209503567.3304286,0.5444,0.1326,0.1299,6932283261.231259,4558338241.042354,3112309351.409623,0.1172,0.0865,5544279999.999984,8074379385.342812,22385388652.482235,16317000000.0,69667000000.0,17578000000.0,57637000000.0,16253868239.765818,12068000000.0,0.0,1967800000.000002,5535029999.999994,-2646509537.2378783,-3569000000.0,-2307700000.0,668325000.0,3579950000.0000076,2.3261,0.4518,0.90510571719753,1.31,1.0493799067016,0.51746501308454,2.3261,0.0368,1.9927,-1.106,42409000000.0,-34606000000.0,49019000000.0,0.4518,-0.0316,-0.1282,0.0341,Consumer Defensive,1,9.051033548138443
COST,32578800000.000015,14554530625.83416,6376499999.999994,9820627155.265985,3624000000.0,3572000000.0,2377000000.0,2377000000.0,5.41,5.37,439487656.0,439455000.0,0.1302,0.0318,0.0163,4823000000.0,3696000000.0,2409000000.0,0.0307,0.0205,4801000000.0,6419000000.0,16779000000.0,15401000000.0,33017000000.0,16539000000.0,22174000000.0,6518000000.0,10617000000.0,6245000000.0,1127000000.0,4285000000.0,-2393000000.0,-2480000000.0,-2307700000.0,-754890021.91495,1892000000.0,0.5297,0.2239,2.4435199560559515,1.015,0.4621198379587601,0.29028357216277,0.5297,0.0386,1.8027,-2.1233,33017000000.0,-5395000000.0,17812000000.0,0.2239,0.0671,0.1255,0.0756,Consumer Defensive,1,1.5097241118151274
COTY,4395200000.0,2638200000.0,2066100000.0,2243100000.0,395100000.0,206400000.0,232500000.0,232500000.0,0.66,0.64,360287188.0,353300000.0,0.6002,0.0636,0.0809,510300000.0,279400000.0,259400000.0,0.047,0.0529,341300000.0,341300000.0,1856400000.0,500200000.0,6018900000.0,1526200000.0,4947900000.0,-193900000.0,969800000.0,749000000.0,230900000.0,526300000.0,-170900000.0,-171200000.0,-1138200000.0,-754890021.91495,355400000.0,2.6207,0.2397,0.73023309907126,1.216,0.66891626261303,0.22362730965797,2.6207,0.0206,2.2637,-0.7401,2574600000.0,-3091500000.0,3341800000.0,0.2397,-0.0178,3.5334,-0.019,Consumer Defensive,0,-25.38467684172081
MNST,2722564000.0,1632301000.0,900118000.0,900118000.0,732183000.0,891548000.0,546733000.0,546733000.0,0.97,0.95,608167383.0,566448000.0,0.5995,0.3275,0.1767,922408000.0,891548000.0,546733000.0,0.3275,0.2008,2175417000.0,2920027000.0,3599532000.0,97354000.0,5571277000.0,410277000.0,761867000.0,1394863000.0,4809410000.0,265514000.0,30860000.0,522723000.0,-41567000.0,142097481.41721565,887611000.0,668325000.0,481156000.0,11.0916,0.1137,0.48867862789806,8.773,8.2821654638208,5.302312827675,11.0916,0.0195,0.9561,-1.347,3863576000.0,702011931.1315995,1277882000.0,0.1137,0.2183,-0.0205,-0.1251,Consumer Defensive,0,-7.842596091439196
SJM,5692700000.0,1968700000.0,1031300000.0,1196700000.0,772000000.0,523000000.0,344900000.0,344900000.0,3.33,3.33,101762584.0,101762584.0,0.3458,0.1059,0.0868,870100000.0,602900000.0,344900000.0,0.0919,0.0606,125600000.0,125600000.0,1983900000.0,1678300000.0,16806300000.0,1022600000.0,9719400000.0,1159200000.0,7086900000.0,393800000.0,267200000.0,739100000.0,-245100000.0,-245100000.0,857300000.0,-27900000.0,494000000.0,2.0722,0.0487,0.33872416891284995,1.94,0.54341873655388,0.12282417367495,2.0722,0.0287,2.1429,-0.9173,3844400000.0,-7735500000.0,8867100000.0,0.0487,-0.0307,-0.16,-0.1366,Consumer Defensive,1,6.861839824054037
CL,16034000000.0,9399000000.0,5464000000.0,6610000000.0,2789000000.0,2599000000.0,1384000000.0,1384000000.0,1.53,1.52,896922057.0,896922057.0,0.5862,0.1637,0.1408,3074000000.0,2625000000.0,1548000000.0,0.1621,0.0863,970000000.0,970000000.0,4384000000.0,3796000000.0,11935000000.0,3534000000.0,11979000000.0,16253868239.765818,-54196236.080000006,2122000000.0,449000000.0,2949000000.0,-691000000.0,-685000000.0,-2276000000.0,-119000000.0,2258000000.0,3.7266,-1.607726,1.3434436531211,1.241,0.67826825127334,0.27447651386531,3.7266,0.023,2.1308,-1.539,8486000000.0,-7595000000.0,10530000000.0,-1.60826,-0.0702,-0.2159,-0.1058,Consumer Defensive,1,3.4044048161436127
ADM,32578800000.000015,3966000000.0,1985000000.0,2185000000.0,1781000000.0,2287000000.0,1849000000.0,1849000000.0,2.99,2.98,596739885.0,618000000.0,0.0586,0.0383,0.0086,3477000000.0,2595000000.0,1846000000.0,0.0338,0.0273,910000000.0,6562000000.0,21829000000.0,9853000000.0,40157000000.0,13505000000.0,22242000000.0,16253868239.765818,17915000000.0,4113000000.0,882000000.0,1705000000.0,-1125000000.0,-21000000.0,-2307700000.0,-754890021.91495,580000000.0,0.3233,0.1032,1.6859327140972,1.616,0.61458718992966,0.06738245094409501,0.3233,0.0815,0.9221,-1.2755,36469000000.0,-413000000.0,27931000000.0,0.1032,-0.1682,-0.3476,-0.6551,Consumer Defensive,1,31.399446909303414
DG,18909588000.0,5802507000.0,4033414000.0,4033414000.0,1769093000.0,1680861000.0,1065345000.0,1065345000.0,3.5,3.49,303425920.0,304633000.0,0.3069,0.0936,0.0505,2111446000.0,1769093000.0,1065345000.0,0.0889,0.0563,579823000.0,579823000.0,3532609000.0,2116075000.0,11208642000.0,1962472000.0,5498604000.0,2403045000.0,5710038000.0,473160000.0,342353000.0,1326891000.0,-371699000.0,-371699000.0,-880935000.0,74257000.0,955192000.0,1.0761,0.1866,1.6870543282585,1.8,0.29545542560607,0.29545542560607,1.0761,0.0522,1.2455,-1.0857,5668183000.0,-1965995000.0,5851011000.0,0.1866,0.0675,0.019,0.0938,Consumer Defensive,1,3.5788184271076466
TAP,3567500000.0,1435900000.0,1038300000.0,1385000000.0,50900000.0,456700000.0,395200000.0,395200000.0,2.13,2.12,165465584.0,185300000.0,0.4025,0.1617,0.1269,891400000.0,577000000.0,398500000.0,0.128,0.1108,430900000.0,430900000.0,1258800000.0,1590800000.0,12276300000.0,1217200000.0,5213200000.0,4496000000.0,7043000000.0,4100000.0,314400000.0,715900000.0,-263200000.0,-334700000.0,-531500000.0,-150300000.0,452700000.0,4.3561,0.0561,0.29060058812509004,1.034,0.78606638186001,0.35400920144594,4.3561,0.0227,1.8115,-0.8372,5547300000.0,-3954400000.0,6836600000.0,0.0561,-0.1313,-0.691,-0.4441,Consumer Defensive,1,5.439369288042512
SYY,32578800000.000015,8551516000.0,6376499999.999994,7322154000.0,1229362000.0,1008147000.0,686773000.0,686773000.0,1.16,1.15,593762499.0,592072308.0,0.1757,0.0259,0.0213,1815975000.0,1262954000.0,686773000.0,0.0207,0.0141,5298318000.0,5298318000.0,11494304000.0,3982143000.0,17989281000.0,9399615000.0,12729057000.0,8751985000.0,5260224000.0,1467610000.0,553021000.0,1555484000.0,-518358000.0,-654346000.0,1713073796.227385,668325000.0,1037126000.0,0.4579,0.1306,2.4435199560559515,1.223,0.92043120915059,0.56367393770915,0.4579,0.0309,2.2649,-0.9373,15874655000.0,-1234753000.0,8498599000.0,0.1306,0.0453,-0.2254,0.042,Consumer Defensive,1,40.090863810225095
NOMD,6916164782.688292,0.0,1091504005.6797535,3841463.1399999997,-757575.7576,555016367.4062196,418905415.75362796,423329790.78664505,1.2317095808383234,1.2059760479041914,197552637.50026807,176607453.40967754,0.37592210263534276,0.021253188723459035,0.054478859756097564,960118858.4198039,-181277056.2771,437482355.38047916,0.001194488027428113,-0.019850422503453213,673598258.0294,673598258.0294,1246053347.8498,346434403.9194,5367120304.8449,1133043004.8993,3311486118.6717,-535111594.9918,1465432770.822,858029395.754,0.0,52041371.8019,-21012520.4137,-1394011976.0479,1037016875.3402,62121212.1212,-541125.5411,2.729066682926829,0.06890503067484667,0.0,1.099740559239,0.70068223311229,0.59450369943307,2.729066682926829,0.010552963414634143,1.3554721707317083,-1.3535676829268293,484199134.1991,297510822.5108,5601668696.047685,0.06889877300613485,0.0,3.5334,5.115931999999994,Consumer Defensive,0,-24.047623769135733
CHD,3394800000.0,1511800000.0,837600000.0,837600000.0,674200000.0,635400000.0,410400000.0,410400000.0,1.57,1.54,262245806.0,262200000.0,0.4453,0.1962,0.1603,766900000.0,665900000.0,410400000.0,0.1872,0.1209,330000000.0,330000000.0,906000000.0,609600000.0,4256900000.0,872700000.0,2233700000.0,2650000000.0,2023200000.0,7200000.0,101000000.0,606100000.0,-61800000.0,-141200000.0,-535000000.0,-93000000.0,544300000.0,3.2785,0.2028,0.79748173553525,1.038,0.69462587372522,0.37813681677552,3.2785,0.037000000000000005,1.4769,-0.6119,1632500000.0,-1327700000.0,1479800000.0,0.2028,0.0405,0.0515,0.1218,Consumer Defensive,1,8.676289087055965
BG,32578800000.000015,2693000000.0,1435000000.0,1448000000.0,1245000000.0,1087000000.0,791000000.0,738000000.0,5.14,5.07,142458656.0,142458656.0,0.062,0.031,-0.0006,1890000000.0,1345000000.0,790000000.0,0.025,0.0182,736000000.0,736000000.0,10916000000.0,4736000000.0,17914000000.0,7340000000.0,11262000000.0,7725000000.0,6441000000.0,2823000000.0,545000000.0,610000000.0,-636000000.0,-802000000.0,360000000.0,49000000.0,-26000000.0,0.2238,0.1228,2.425756391649,1.487,0.31920980926431003,0.10027247956403,0.2238,0.0753,0.8266,-1.167,17170000000.0,-346000000.0,13862000000.0,0.1228,0.0275,0.3387,-0.564,Consumer Defensive,1,11.06581741194968
PBH,714623000.0,406223000.0,180924000.0,198664000.0,207559000.0,127458000.0,78260000.0,78260000.0,1.5,1.49,52273201.0,52170000.0,0.5684,0.2922,0.2241,226524000.0,208784000.0,78260000.0,0.1784,0.1095,21318000.0,21318000.0,201707000.0,13744000.0,2641967000.0,99037000.0,2014343000.0,227405000.0,627624000.0,52922000.0,17740000.0,156255000.0,0.0,-805258000.0,643265000.0,-7013000.0,160154000.0,3.1373,0.1247,0.27048899550978,2.037,1.1023758797217,0.2152528852853,3.1373,0.035,1.9966,0.0,216616000.0,-1812636000.0,1657534000.0,0.1247,0.2106,0.1004,0.4004,Consumer Defensive,1,5.125094895979842
BIG,5177078000.0,2043954000.0,1699764000.0,1819466000.0,224488000.0,199515000.0,114276000.0,114276000.0,2.08,2.06,53452301.0,53452301.0,0.3948,0.039,0.044,307952000.0,202103000.0,114276000.0,0.0385,0.0221,52261000.0,52261000.0,999275000.0,550555000.0,1635891000.0,587829000.0,846341000.0,2107100000.0,789550000.0,228897000.0,105849000.0,318562000.0,-90677000.0,-90749000.0,-249320000.0,-16368000.0,227885000.0,0.4759,0.1447,2.4435199560559515,1.7,0.08890510675723699,0.08890510675723699,0.4759,0.0451,2.7877,-0.8567,1635891000.0,152934000.0,1057901000.0,0.1447,0.0182,-0.0244,0.6062,Consumer Defensive,1,33.1854999784493
